SB Number,Date,Attendance,Winner,QB Winner,Coach Winner,Winner Pts,Loser,QB Loser,Coach Loser,Losing Pts,MVP,Stadium,City,State,Point Difference
LIX,"February 9, 2025","73,432",Philadelphia Eagles,Jalen Hurts,Nick Sirianni,40,Kansas City Chiefs,Patrick Mahomes,Andy Reid,22,Jalen Hurts,Caesars Superdome,New Orleans,Louisiana,18
LVIII,"February 11, 2024","61,629",Kansas City Chiefs,Patrick Mahomes,Andy Reid,25,San Francisco 49ers,Brock Purdy,Kyle Shanahan,22,Patrick Mahomes,Allegiant Stadium,Paradise,Nevada,3
LVII,"February 12, 2023","67,827",Kansas City Chiefs,Patrick Mahomes,Andy Reid,38,Philadelphia Eagles,Jalen Hurts,Nick Sirianni,35,Patrick Mahomes,State Farm Stadium,Glendale,Arizona,3
LVI,"February 13, 2022","70,048",Los Angeles Rams,Matthew Stafford,Sean McVay,23,Cincinnati Bengals,Joe Burrow,Zac Taylor,20,Cooper Kupp,SoFi Stadium,Inglewood,California,3
LV,"February 7, 2021","24,835",Tampa Bay Buccaneers,Tom Brady,Bruce Arians,31,Kansas City Chiefs,Patrick Mahomes,Andy Reid,9,Tom Brady,Raymond James Stadium,Tampa,Florida,22
LIV,"February 2, 2020","62,417",Kansas City Chiefs,Patrick Mahomes,Andy Reid,31,San Francisco 49ers,Jimmy Garoppolo,Kyle Shanahan,20,Patrick Mahomes,Hard Rock Stadium,Miami Gardens,Florida,11
LIII,"February 3, 2019","70,081",New England Patriots,Tom Brady,Bill Belichick,13,Los Angeles Rams,Jared Goff,Sean McVay,3,Julian Edelman,Mercedes-Benz Stadium,Atlanta,Georgia,10
LII,"February 4, 2018","67,612",Philadelphia Eagles,Nick Foles,Doug Pederson,41,New England Patriots,Tom Brady,Bill Belichick,33,Nick Foles,U.S. Bank Stadium,Minneapolis,Minnesota,8
LI,"February 5, 2017","70,807",New England Patriots,Tom Brady,Bill Belichick,34,Atlanta Falcons,Matt Ryan,Dan Quinn,28,Tom Brady,NRG Stadium,Houston,Texas,6
L,"February 7, 2016","71,088",Denver Broncos,Peyton Manning,Gary Kubiak,24,Carolina Panthers,Cam Newton,Ron Rivera,10,Von Miller,Levi's Stadium,Santa Clara,California,14
XLIX,"February 1, 2015","70,288",New England Patriots,Tom Brady,Bill Belichick,28,Seattle Seahawks,Russell Wilson,Pete Carroll,24,Tom Brady,University of Phoenix Stadium,Glendale,Arizona,4
XLVIII,"February 2, 2014","82,529",Seattle Seahawks,Russell Wilson,Pete Carroll,43,Denver Broncos,Peyton Manning,John Fox,8,Malcolm Smith,MetLife Stadium,East Rutherford,New Jersey,35
XLVII,"February 3, 2013","71,024",Baltimore Ravens,Joe Flacco,John Harbaugh,34,San Francisco 49ers,Colin Kaepernick,Jim Harbaugh,31,Joe Flacco,Mercedes-Benz Superdome,New Orleans,Louisiana,3
